participant_id,participant_display_name,mean_penalty,cost_per_1k_app_translations_usd,translations_per_usd,translations_per_0_07_usd,translations_per_0_08_usd,translations_per_0_10_usd,quality_weighted_cost,value_index,source_run_id,provenance,note
gemini-3.1-flash-lite,Gemini 3.1 Flash-lite,0.572531,0.321600,3109.452736,217.661692,248.756219,310.945274,0.105418,100.000000,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
gemini-3-flash,Gemini 3 Flash,0.595679,0.643200,1554.726368,108.830846,124.378109,155.472637,0.228229,46.189495,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
gemma-4-26b-openrouter,Gemma 4 26B via OpenRouter,0.813272,0.172300,5803.830528,406.268137,464.306442,580.383053,0.113961,92.503327,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
qwen-3.5-plus,Qwen 3.5 Plus,0.958333,0.141900,7047.216350,493.305144,563.777308,704.721635,0.130321,80.890639,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
deepseek-v4-flash,DeepSeek V4 Flash,1.024691,0.172000,5813.953488,406.976744,465.116279,581.395349,0.180599,58.371285,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
gemma-4-26b-openrouter-nocontext-baseline,Gemma 4 26B via OpenRouter (No context baseline),1.265432,,,,,,,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.",No public app-usage cost assumption for this participant.
deepseek-v4-flash-nocontext-baseline,DeepSeek V4 Flash (No context baseline),1.646605,,,,,,,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.",No public app-usage cost assumption for this participant.
qwen-3.5-flash,Qwen 3.5 Flash,2.197531,0.037100,26954.177898,1886.792453,2156.334232,2695.417790,0.179161,58.839635,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.","App-usage estimate assumes 1,200 input tokens and 14.4 output tokens per translation."
deepl-api,DeepL API,4.962733,,,,,,,,gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-reuse-20260429-052309,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.",No public app-usage cost assumption for this participant. reuse-only partial row; 644/648 valid cells; 4 unresolved cells.
deepl-api-nocontext,DeepL API (No context),5.717391,,,,,,,,gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-nocontext-reuse-20260429-052839,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.",No public app-usage cost assumption for this participant. reuse-only partial row; 644/648 valid cells; 4 unresolved cells.
google-cloud-translate-basic,Google Cloud Translation Basic,5.998457,,,,,,,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514,"See reports/run-summary.json for benchmark config, dataset fingerprint, prompt version, judge backend/model, participant set, and caveats.",No public app-usage cost assumption for this participant.
