language,rank,participant_id,participant_display_name,mean_penalty,samples,failed_samples,benchmark_valid,caveat,source_run_id
en,1,gemini-3-flash,Gemini 3 Flash,0.407407,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,2,gemini-3.1-flash-lite,Gemini 3.1 Flash-lite,0.486111,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,3,gemma-4-26b-openrouter,Gemma 4 26B via OpenRouter,0.537037,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,4,deepseek-v4-flash,DeepSeek V4 Flash,0.865741,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,5,qwen-3.5-plus,Qwen 3.5 Plus,0.898148,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,6,gemma-4-26b-openrouter-nocontext-baseline,Gemma 4 26B via OpenRouter (No context baseline),1.314815,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,7,deepseek-v4-flash-nocontext-baseline,DeepSeek V4 Flash (No context baseline),1.652778,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,8,qwen-3.5-flash,Qwen 3.5 Flash,1.694444,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,9,google-cloud-translate-basic,Google Cloud Translation Basic,1.865741,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
en,10,deepl-api,DeepL API,4.621495,214,0,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-reuse-20260429-052309
en,11,deepl-api-nocontext,DeepL API (No context),5.488372,215,0,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-nocontext-reuse-20260429-052839
ja,1,gemini-3-flash,Gemini 3 Flash,0.597222,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,2,gemini-3.1-flash-lite,Gemini 3.1 Flash-lite,0.680556,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,3,gemma-4-26b-openrouter,Gemma 4 26B via OpenRouter,0.995370,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,4,gemma-4-26b-openrouter-nocontext-baseline,Gemma 4 26B via OpenRouter (No context baseline),1.111111,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,5,qwen-3.5-plus,Qwen 3.5 Plus,1.328704,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,6,deepseek-v4-flash,DeepSeek V4 Flash,1.407407,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,7,deepseek-v4-flash-nocontext-baseline,DeepSeek V4 Flash (No context baseline),1.851852,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,8,qwen-3.5-flash,Qwen 3.5 Flash,3.333333,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
ja,9,deepl-api,DeepL API,4.185185,216,0,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-reuse-20260429-052309
ja,10,deepl-api-nocontext,DeepL API (No context),5.060748,214,0,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-nocontext-reuse-20260429-052839
ja,11,google-cloud-translate-basic,Google Cloud Translation Basic,13.152778,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
zh-Hans,1,gemini-3.1-flash-lite,Gemini 3.1 Flash-lite,0.550926,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
zh-Hans,2,qwen-3.5-plus,Qwen 3.5 Plus,0.648148,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
zh-Hans,3,gemini-3-flash,Gemini 3 Flash,0.782407,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
zh-Hans,4,deepseek-v4-flash,DeepSeek V4 Flash,0.800926,216,0,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
