participant_id,participant_display_name,used_correctly,missed_required_context,ignored_irrelevant_context,misused_context,unclear,missed_required_context_rate,misused_context_rate,samples,benchmark_valid,caveat,source_run_id
deepseek-v4-flash,DeepSeek V4 Flash,430,36,180,1,1,0.069444,0.000000,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
deepseek-v4-flash-nocontext-baseline,DeepSeek V4 Flash (No context baseline),343,127,172,1,5,0.270833,0.000000,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
gemini-3-flash,Gemini 3 Flash,461,19,160,7,1,0.032407,0.023148,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
gemini-3.1-flash-lite,Gemini 3.1 Flash-lite,465,10,163,8,2,0.013889,0.018519,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
gemma-4-26b-openrouter,Gemma 4 26B via OpenRouter,447,22,174,4,1,0.037037,0.009259,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
gemma-4-26b-openrouter-nocontext-baseline,Gemma 4 26B via OpenRouter (No context baseline),373,98,173,1,3,0.206019,0.000000,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
google-cloud-translate-basic,Google Cloud Translation Basic,207,230,199,3,9,0.462963,0.004630,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
qwen-3.5-flash,Qwen 3.5 Flash,396,55,181,13,3,0.111111,0.023148,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
qwen-3.5-plus,Qwen 3.5 Plus,416,46,179,7,0,0.090278,0.004630,648,true,,gemba-mqm-context-v1-gemini-context-v2-expanded-nodeepl-api-20260429-011514
deepl-api,DeepL API,247,168,193,18,18,0.339535,0.051402,644,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-reuse-20260429-052309
deepl-api-nocontext,DeepL API (No context),168,271,186,5,14,0.539535,0.014019,644,false,"reuse-only partial row; 644/648 valid cells; 4 unresolved cells",gemba-mqm-context-v1-gemini-context-v2-expanded-deepl-nocontext-reuse-20260429-052839
